dataset,source,format,split,label,count,work,author,identity_evidence,identity_status
outputs/corpus-snapshot-v4/reviewed-export.json,11b4365c-87f9-5b8d-802f-a0d2aafc478a,pdf,train,campanias_conflictos_militares,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,11b4365c-87f9-5b8d-802f-a0d2aafc478a,pdf,train,contexto_colonial_antecedentes,1,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,11b4365c-87f9-5b8d-802f-a0d2aafc478a,pdf,train,crisis_ideas_emancipadoras,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,11b4365c-87f9-5b8d-802f-a0d2aafc478a,pdf,train,liderazgos_diplomacia_proyectos,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,11b4365c-87f9-5b8d-802f-a0d2aafc478a,pdf,train,no_relevante,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,11b4365c-87f9-5b8d-802f-a0d2aafc478a,pdf,train,organizacion_consecuencias_republicanas,3,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,11b4365c-87f9-5b8d-802f-a0d2aafc478a,pdf,train,participacion_social_regional,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,campanias_conflictos_militares,1,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,contexto_colonial_antecedentes,14,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,crisis_ideas_emancipadoras,22,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,liderazgos_diplomacia_proyectos,1,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,no_relevante,22,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,organizacion_consecuencias_republicanas,2,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,participacion_social_regional,10,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,campanias_conflictos_militares,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
